STATE,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4
Idaho,63470.8,63077.2,63295,63099.7,64649.4,65313.1,66214.6,66395.9,66905.2,68223.5,68820,69699.9,71737.7,72239.5,72488.2,73356,73808.4,74402.5,75256.6,76280.9,75911.4,68821,75295.8,76294.1
Illinois,743695.8,747003,751340.1,748628.1,745046.6,745643.5,743415.5,751374.3,747671.1,750061.8,754722.1,757381.8,767710.4,767965.3,771238.4,771610.8,773419.4,769635.5,774889.3,774597.9,762096.5,697776.3,751378.3,757862.2
Indiana,311153.9,312997.9,311333,311916.8,312408.3,315247.6,317973.2,320553.3,320974.3,321880,322649.6,326373.4,331119.2,331035.2,332306.5,334166.5,334871.2,336202.2,338925.1,340545.7,335994.7,304019.2,332611.9,336723.1
Iowa,169423.4,170069.3,171165.2,171525.7,169536.2,168345.3,170148.4,169925.4,169704.2,169201.3,167876.7,169123.9,172113.1,173435,173166,172664.6,172944.6,173210.5,174246.9,173659.8,172778.4,159023.1,171842,174476.1
Kansas,145083.2,147715.5,148883.3,150037.1,149918,152084.4,153506.7,154537.1,154372.5,154203.4,154238.2,155012.2,157086.1,158515.5,158726.7,158442.5,159201.5,159771.4,160148.9,161115.6,159673.1,145906.7,157061.2,158590.3
Kentucky,180945.5,182947.7,182842,183216.3,181394.9,183095.4,184624.5,184704.8,184102.7,183675.3,184500.1,186125,186509.2,187269.2,187554.1,188696.9,189572.5,190026,191287.3,192360,189907,170843.7,186240.4,188225.3
Louisiana,233161.3,230908.4,229960,227706.4,225930.4,225398.6,224509.9,225608.3,227852.4,228623.5,229075,229726.3,233518.7,234649.8,235046,236872.9,238611.5,238443.3,240978.6,241835.4,234288.9,213207.6,229019.5,230724.7
Maine,53144.5,53845.8,54003.1,54523.8,54510.9,55204.9,55075.4,55561.1,55712.3,55674.3,56102.9,56369.3,56998.8,57324.3,57569.8,57317.7,58383.3,58325.8,58987.8,59476.6,58487.6,52632.3,56972.6,57363.4
Maryland,346381.2,347445.4,350005.5,352755.1,355727.3,358569.6,361192,364461.1,363564.9,364549.9,366162.6,369150.5,368137.2,369294.5,368786.4,369023.3,371303.2,372960.5,374664,377229.3,373780,344685.5,367486.6,370725
Massachusetts,466865.4,472666.5,471805.2,476579.6,474323.5,477587,482519.1,482309.9,484078.3,488372.2,493551.4,497494.7,503513.7,507673.4,509108.6,510928.3,517131.2,518750.6,521749.5,522215.3,516459.9,469669,504488.6,510331.5
Michigan,437734.3,442123.1,444153.1,445139.9,445512,451582.7,451345.9,455663.2,455027.9,456275.9,456730.3,461332,466863.5,467842.8,468499.3,468106.4,469147.6,469482.7,473470.1,474492,464779.9,413032.1,452637.8,454547.7
Minnesota,316458.3,315457.5,316748.3,318789.3,317807.7,319371.4,324621.8,326119.1,328768.2,327256.3,325569.9,329075.7,334381.4,336989.2,338546.3,338946.7,338981.1,339517.4,341818.2,343849,337866.2,307558.5,332320.1,336145
Mississippi,99555.9,100098.9,100316.1,100083.5,100847.8,100270.2,100028.4,100501.8,101437.5,100691.5,100906.8,101251,101510.4,102292.1,102126,102318.4,101956.7,102082.4,102924.3,103662.2,102683.4,92942.6,101006.5,102396.9
Missouri,276534.6,277142,277074.3,274515.7,276087.2,275536.8,275353.6,277866.1,276445.9,278832.1,279706.2,282073.1,282684.4,285606.9,285386.8,285107.1,287010,286177.1,288072,289378.1,285612,259263.5,280340.8,284197.6
Montana,45040.6,45227,45316.1,44586.1,44748.8,44127.4,44334.8,45111.9,45180.6,45774.7,45563.4,45403.9,46324.4,46621.2,46508.7,47055.7,47310.4,47518.4,48211.2,48625.3,48025.2,43805,46847,47268.3
Nebraska,110040.6,111073.2,111169.6,110728.2,110049.7,110540.2,111878.9,113978.2,112735.5,113978.8,113898.5,114404,115271.3,114950.9,114460.3,115669,115303.5,116603.3,118246,119428,118385.2,107878.8,115887.2,117678.1
Nevada,132440.9,134748.2,135631,136748.7,136709.7,136994.7,140886.2,139965.1,142205.9,142933.5,144909.1,144315.2,148151.5,148924.1,149691.9,151884.3,152088.2,152758.8,154518.2,155549.2,153612.4,133952.7,148792.5,150313.8
New Hampshire,70026.8,71391.6,71341.4,72916.5,72358.2,72985.5,73462.2,73285,73422.5,73561.3,75041.6,74989,75959.1,76129.9,76433.4,76138.6,77656.1,77102,77153.8,77049.4,76630.5,68288.4,74396.5,75100.8
New Jersey,532833.1,535671.9,536899.9,535733.1,540492.4,538903.8,540502.9,541622,535106.9,539262.9,543072,545184.8,544460.3,548025.2,550326.4,553191.4,553977.1,554616.1,558114,560216.6,555552.2,497613.7,538512.1,544857.2
New Mexico,91808.7,91442.2,91778.2,91688.9,91944.2,91691.1,91340.9,91879.2,91508.3,91638.1,92002.5,91940.5,92873.7,93593.5,93896.1,95120.5,96822,98204.1,99808.2,100228.6,99030.8,91126.5,96089.7,96676.3
New York,1364384.4,1379912.4,1381233.8,1363399,1398438.6,1401470.2,1391395.3,1399590.7,1422244.9,1411354.5,1420018.3,1446004.1,1458221.8,1468729.1,1475062.3,1466294.1,1483711,1492559.1,1490835.2,1495608.7,1472028.6,1315024,1404848.2,1417744.9
North Carolina,466769.5,470194.6,470784.7,470393.7,474710.5,474387.8,477449.5,483547.5,485660.2,486750.7,488842.1,494853.5,497314.5,503155.9,502254.5,505095.3,506881.6,509507.3,513146.8,516623.8,512065.9,467579.4,504659.2,510653.5
North Dakota,57045.8,54917.5,54363.1,53943.1,52251.6,50780.9,50897.6,50619.1,50979,51693,51217.2,51275.7,52763.7,53402.3,53878.3,53847.1,53836.8,54045.7,53935.9,53902.4,53687.7,49524.9,52089.7,52782.2
